gaia_dr3_id,log_bf_PR,log_bf_PR_std,period,period_std,ra,dec,bp_rp,mean_mag_g_fov,quaia_unwise_id,CatNorth_CATWISE2020_id,CatNorth_PS1_id,AllWISE,AllWISE_R90_id,AllWISE_C75_id,Milliquas_v65_id,SDSS_DR14Q_id,LQAC_v5,Gaia_unWISE_id
678930837966297728,3.1083426184616103,1.077233681516169,467.1475838145731,16.345017452683823,125.2534010406892,23.57056898772839,0.9776478,20.615734,,1255p242_b0-003188,136281252534475195,J082100.81+233414.1,J082100.81+233414.1,J082100.81+233414.1,WISEA J082100.81+233414.1,,,1255p242o0002100
4987204492404588288,3.2159862495459715,1.5651919274313901,571.6378585084839,9.752787077203347,13.960594198142399,-41.291161717322424,0.47112465,19.925344,0138m409o0006323,,,,J005550.54-411728.1,J005550.54-411728.1,,,,0138m409o0006323
1412136181219377920,3.3210535058664323,1.1577518842556314,607.6697171310525,14.65085970595058,253.04526120347015,50.058818815064136,0.6839676,20.460375,2531p499o0020579,2531p499_b0-012750,168072530453741348,,J165210.85+500331.5,J165210.85+500331.5,SDSS J165210.84+500331.7,165210.84+500331.7,LQAC_253+050_016,2531p499o0020579
1429287810993935488,3.3217742776852437,2.2058330082317976,518.0194384503615,11.68537089838011,241.83831858896068,55.258723218750156,0.46907234,18.950869,2425p545o0036954,2425p545_b0-003045,174312418384111261,J160721.19+551531.4,J160721.19+551531.4,J160721.19+551531.4,SDSS J160721.20+551531.4,160721.20+551531.4,LQAC_241+055_012,2425p545o0036954
5067271066579024896,3.3543975985915737,1.154700125423591,406.95906465612546,8.939188154554927,38.51524800837403,-30.472854389373886,0.27307892,20.302923,0382m303o0009862,0382m303_b0-005152,71430385150642791,,J023403.65-302822.6,J023403.65-302822.6,2QZ J023403.6-302822,,LQAC_038-030_014,0382m303o0009862
5119830196287118976,3.157104164295347,1.5653301800015713,457.95610896010646,10.553262853795815,34.3625281817231,-24.643715334811485,0.5238037,19.99593,0346m243o0006118,0346m243_b0-003883,78420343625057868,J021727.00-243836.9,J021727.00-243836.9,J021727.00-243836.9,WISEA J021727.00-243836.9,,,0346m243o0006118
5137127403977968256,4.907641484379055,3.1173952275221195,480.7423182714718,9.77747514008562,33.42885862256144,-19.280416167890078,0.5586529,19.135777,0336m197o0017983,0336m197_b0-004345,84860334287943830,,J021342.93-191649.5,J021342.93-191649.5,,,,0336m197o0017983
1434168813691526272,3.204585886271953,2.0302101257065988,110.53907583949159,0.8127792275450937,258.47153707803864,58.854617975683965,0.89229774,20.554575,,2592p590_b0-005395,178622584715716254,,,,SDSS J171353.17+585116.6,,,2592p590o0013742
1434547458007904640,3.561124657479372,1.8225765421412743,307.67015561872273,5.151875637066664,264.20894976711656,58.449405174433466,0.552578,20.167637,2649p590o0004348,2649p590_b0-008070,178132642090119946,,J173650.09+582657.7,J173650.09+582657.7,,,,2649p590o0004348
306283291928455168,4.968484572153449,3.300404066915963,443.53908465670565,5.851905093228739,17.274780932719608,25.093878043172147,0.69452286,20.16511,0166p257o0002399,0166p257_b0-019327,138110172747283210,,,J010905.91+250537.5,SDSS J010905.94+250537.9,010905.94+250537.9,LQAC_017+025_046,0166p257o0002399
