# Id, RA, Dec, z, mag, period, logmbh, r, t_insp, dt_gw
SDSS_J161854.64+230859.1,16 18 54.6,+23 08 59.3,0.561,18.22,1666,8.37,0.006,2.9e+05,0.14
163107.34+560905.3,16 31 07.4,+56 09 05.1,0.731,19.13,1724,8.38,0.006,2.2e+05,0.14
HS_1630+2355,16 33 02.7,+23 49 28.8,0.821,15.23,2040,9.86,0.020,1.1e+03,38.71
SDSS_J164452.71+430752.2,16 44 52.7,+43 07 52.9,1.715,17.06,2000,10.15,0.019,1.1e+02,91.56
SDSS_J165136.76+434741.3,16 51 36.8,+43 47 41.9,1.604,18.13,1923,9.34,0.010,2.6e+03,4.12
MCG_5-40-026,17 01 07.8,+29 24 24.6,0.036,14.65,1408,0.00,0.000,0,0.00
SDSS_J170616.24+370927.0,17 06 16.2,+37 09 27.0,1.267,18.19,1388,9.10,0.007,3.9e+03,1.57
HS_1715+2131,17 17 20.1,+21 28 15.0,0.590,16.19,1250,0.00,0.000,0,0.00
FBQS_J17239+3748,17 23 54.3,+37 48 41.7,0.828,17.55,1960,9.38,0.013,6e+03,6.05
SDSS_J172656.96+600348.5,17 26 56.9,+60 03 49.1,0.991,18.50,1923,9.15,0.010,1.1e+04,2.33
4C_50.43,17 31 03.7,+50 07 35.7,1.111,16.74,1075,0.00,0.000,0,0.00
BZQJ2156-2012,21 56 33.7,--20 12 30.2,1.309,17.01,1333,0.00,0.000,0,0.00
SDSS_J221016.97+122213.9,22 10 17.0,+12 22 14.0,0.717,18.32,1333,9.00,0.008,1.1e+04,1.35
6QZ_J221925.1-305408,22 19 25.2,--30 54 08.1,0.579,19.15,1408,0.00,0.000,0,0.00
HS_2219+1944,22 22 21.1,+19 59 48.1,0.211,16.33,1724,0.00,0.000,0,0.00
SDSS_J224829.47+144418.0,22 48 29.4,+14 44 18.4,0.424,18.82,1219,8.86,0.008,2.4e+04,1.02
